A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,A29,A30,A31,A32,A33,
56-65-11,T,ATP,Adenosine triphosphate,Adenosine triphosphate,Small molecule,,,,513.18,5957,5742,ChEMBL14255,https://commonchemistry.cas.org/detail?cas_rn=56-65-11&search=56-65-11,http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=5957,http://www.chemspider.com/Chemical-Structure.5742.html,https://www.ebi.ac.uk/chembldb/index.php/compound/inspect/ChEMBL14255,,"ATPA,ATPB,ATPG","ATP synthase subunit alpha,mitochondrial,ATP synthase subunit beta,mitochondrial,ATP synthase subunit gamma,mitochondrial","ATP synthase alpha chain,mitochondrial; ATP synthase F1 subunit alpha; ATP synthase subunit alpha,mitochondrial; ATP synthase,H+ transporting,mitochondrial F1 complex,alpha subunit 1,cardiac muscle; ATP synthase,H+ transporting,mitochondrial F1 complex,alpha subunit,isoform 1,cardiac muscle; ATP synthase,H+ transporting,mitochondrial F1 complex,alpha subunit,isoform 2,non-cardiac muscle-like 2; ATP sythase (F1-ATPase) alpha subunit; ATP5A; ATP5A1; ATP5AL2; ATP5F1A; ATPA; ATPM; COXPD22; epididymis secretory sperm binding protein Li 123m; hATP1; HEL-S-123m; MC5DN4; mitochondrial ATP synthetase,oligomycin-resistant; MOM2; OMR; ORM","P25705,P06576,P36542","6894,15702,11729","Mitochondrial membrane ATP synthase (F(1)F(0) ATP synthase or Complex V) produces ATP from ADP in the presence of a proton gradient across the membrane which is generated by electron transport complexes of the respiratory chain. F-type ATPases consist of two structural domains,F(1) - containing the extramembraneous catalytic core,and F(0) - containing the membrane proton channel,linked together by a central stalk and a peripheral stalk. During catalysis,ATP synthesis in the catalytic domain of F(1) is coupled via a rotary mechanism of the central stalk subunits to proton translocation. Subunits alpha and beta form the catalytic core in F(1).",F,F,T,F,T,F,F,T,F,
56-65-12,T,ATP,Adenosine triphosphate,Adenosine triphosphate,Small molecule,,,,514.18,5957,5742,ChEMBL14256,https://commonchemistry.cas.org/detail?cas_rn=56-65-12&search=56-65-12,http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=5957,http://www.chemspider.com/Chemical-Structure.5742.html,https://www.ebi.ac.uk/chembldb/index.php/compound/inspect/ChEMBL14256,,"ATPA,ATPB,ATPG","ATP synthase subunit alpha,mitochondrial,ATP synthase subunit beta,mitochondrial,ATP synthase subunit gamma,mitochondrial","ATP synthase alpha chain,mitochondrial; ATP synthase F1 subunit alpha; ATP synthase subunit alpha,mitochondrial; ATP synthase,H+ transporting,mitochondrial F1 complex,alpha subunit 1,cardiac muscle; ATP synthase,H+ transporting,mitochondrial F1 complex,alpha subunit,isoform 1,cardiac muscle; ATP synthase,H+ transporting,mitochondrial F1 complex,alpha subunit,isoform 2,non-cardiac muscle-like 2; ATP sythase (F1-ATPase) alpha subunit; ATP5A; ATP5A1; ATP5AL2; ATP5F1A; ATPA; ATPM; COXPD22; epididymis secretory sperm binding protein Li 123m; hATP1; HEL-S-123m; MC5DN4; mitochondrial ATP synthetase,oligomycin-resistant; MOM2; OMR; ORM","P25705,P06576,P36542","6894,15702,11729","Mitochondrial membrane ATP synthase (F(1)F(0) ATP synthase or Complex V) produces ATP from ADP in the presence of a proton gradient across the membrane which is generated by electron transport complexes of the respiratory chain. F-type ATPases consist of two structural domains,F(1) - containing the extramembraneous catalytic core,and F(0) - containing the membrane proton channel,linked together by a central stalk and a peripheral stalk. During catalysis,ATP synthesis in the catalytic domain of F(1) is coupled via a rotary mechanism of the central stalk subunits to proton translocation. Subunits alpha and beta form the catalytic core in F(1).",F,F,T,F,T,F,F,T,F,
56-65-13,T,ATP,Adenosine triphosphate,Adenosine triphosphate,Small molecule,-,,,515.18,5957,5742,ChEMBL14257,https://commonchemistry.cas.org/detail?cas_rn=56-65-13&search=56-65-13,http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=5957,http://www.chemspider.com/Chemical-Structure.5742.html,https://www.ebi.ac.uk/chembldb/index.php/compound/inspect/ChEMBL14257,,"ATPA,ATPB,ATPG","ATP synthase subunit alpha,mitochondrial,ATP synthase subunit beta,mitochondrial,ATP synthase subunit gamma,mitochondrial","ATP synthase alpha chain,mitochondrial; ATP synthase F1 subunit alpha; ATP synthase subunit alpha,mitochondrial; ATP synthase,H+ transporting,mitochondrial F1 complex,alpha subunit 1,cardiac muscle; ATP synthase,H+ transporting,mitochondrial F1 complex,alpha subunit,isoform 1,cardiac muscle; ATP synthase,H+ transporting,mitochondrial F1 complex,alpha subunit,isoform 2,non-cardiac muscle-like 2; ATP sythase (F1-ATPase) alpha subunit; ATP5A; ATP5A1; ATP5AL2; ATP5F1A; ATPA; ATPM; COXPD22; epididymis secretory sperm binding protein Li 123m; hATP1; HEL-S-123m; MC5DN4; mitochondrial ATP synthetase,oligomycin-resistant; MOM2; OMR; ORM","P25705,P06576,P36542","6894,15702,11729","Mitochondrial membrane ATP synthase (F(1)F(0) ATP synthase or Complex V) produces ATP from ADP in the presence of a proton gradient across the membrane which is generated by electron transport complexes of the respiratory chain. F-type ATPases consist of two structural domains,F(1) - containing the extramembraneous catalytic core,and F(0) - containing the membrane proton channel,linked together by a central stalk and a peripheral stalk. During catalysis,ATP synthesis in the catalytic domain of F(1) is coupled via a rotary mechanism of the central stalk subunits to proton translocation. Subunits alpha and beta form the catalytic core in F(1).",F,F,T,F,T,F,F,T,F,
56-65-14,T,ATP,Adenosine triphosphate,Adenosine triphosphate,Small molecule,,,,516.18,5957,5742,ChEMBL14258,https://commonchemistry.cas.org/detail?cas_rn=56-65-14&search=56-65-14,http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=5957,http://www.chemspider.com/Chemical-Structure.5742.html,https://www.ebi.ac.uk/chembldb/index.php/compound/inspect/ChEMBL14258,,"ATPA,ATPB,ATPG","ATP synthase subunit alpha,mitochondrial,ATP synthase subunit beta,mitochondrial,ATP synthase subunit gamma,mitochondrial","ATP synthase alpha chain,mitochondrial; ATP synthase F1 subunit alpha; ATP synthase subunit alpha,mitochondrial; ATP synthase,H+ transporting,mitochondrial F1 complex,alpha subunit 1,cardiac muscle; ATP synthase,H+ transporting,mitochondrial F1 complex,alpha subunit,isoform 1,cardiac muscle; ATP synthase,H+ transporting,mitochondrial F1 complex,alpha subunit,isoform 2,non-cardiac muscle-like 2; ATP sythase (F1-ATPase) alpha subunit; ATP5A; ATP5A1; ATP5AL2; ATP5F1A; ATPA; ATPM; COXPD22; epididymis secretory sperm binding protein Li 123m; hATP1; HEL-S-123m; MC5DN4; mitochondrial ATP synthetase,oligomycin-resistant; MOM2; OMR; ORM","P25705,P06576,P36542","6894,15702,11729","Mitochondrial membrane ATP synthase (F(1)F(0) ATP synthase or Complex V) produces ATP from ADP in the presence of a proton gradient across the membrane which is generated by electron transport complexes of the respiratory chain. F-type ATPases consist of two structural domains,F(1) - containing the extramembraneous catalytic core,and F(0) - containing the membrane proton channel,linked together by a central stalk and a peripheral stalk. During catalysis,ATP synthesis in the catalytic domain of F(1) is coupled via a rotary mechanism of the central stalk subunits to proton translocation. Subunits alpha and beta form the catalytic core in F(1).",F,F,T,F,T,F,F,T,F,
56-65-15,T,ATP,Adenosine triphosphate,Adenosine triphosphate,Small molecule,,,,517.18,5957,5742,ChEMBL14259,https://commonchemistry.cas.org/detail?cas_rn=56-65-15&search=56-65-15,http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=5957,http://www.chemspider.com/Chemical-Structure.5742.html,https://www.ebi.ac.uk/chembldb/index.php/compound/inspect/ChEMBL14259,,"ATPA,ATPB,ATPG","ATP synthase subunit alpha,mitochondrial,ATP synthase subunit beta,mitochondrial,ATP synthase subunit gamma,mitochondrial","ATP synthase alpha chain,mitochondrial; ATP synthase F1 subunit alpha; ATP synthase subunit alpha,mitochondrial; ATP synthase,H+ transporting,mitochondrial F1 complex,alpha subunit 1,cardiac muscle; ATP synthase,H+ transporting,mitochondrial F1 complex,alpha subunit,isoform 1,cardiac muscle; ATP synthase,H+ transporting,mitochondrial F1 complex,alpha subunit,isoform 2,non-cardiac muscle-like 2; ATP sythase (F1-ATPase) alpha subunit; ATP5A; ATP5A1; ATP5AL2; ATP5F1A; ATPA; ATPM; COXPD22; epididymis secretory sperm binding protein Li 123m; hATP1; HEL-S-123m; MC5DN4; mitochondrial ATP synthetase,oligomycin-resistant; MOM2; OMR; ORM","P25705,P06576,P36542","6894,15702,11729","Mitochondrial membrane ATP synthase (F(1)F(0) ATP synthase or Complex V) produces ATP from ADP in the presence of a proton gradient across the membrane which is generated by electron transport complexes of the respiratory chain. F-type ATPases consist of two structural domains,F(1) - containing the extramembraneous catalytic core,and F(0) - containing the membrane proton channel,linked together by a central stalk and a peripheral stalk. During catalysis,ATP synthesis in the catalytic domain of F(1) is coupled via a rotary mechanism of the central stalk subunits to proton translocation. Subunits alpha and beta form the catalytic core in F(1).",F,F,T,F,T,F,F,T,F,
56-65-16,T,ATP,Adenosine triphosphate,Adenosine triphosphate,Small molecule,,,,518.18,5957,5742,ChEMBL14260,https://commonchemistry.cas.org/detail?cas_rn=56-65-16&search=56-65-16,http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=5957,http://www.chemspider.com/Chemical-Structure.5742.html,https://www.ebi.ac.uk/chembldb/index.php/compound/inspect/ChEMBL14260,,"ATPA,ATPB,ATPG","ATP synthase subunit alpha,mitochondrial,ATP synthase subunit beta,mitochondrial,ATP synthase subunit gamma,mitochondrial","ATP synthase alpha chain,mitochondrial; ATP synthase F1 subunit alpha; ATP synthase subunit alpha,mitochondrial; ATP synthase,H+ transporting,mitochondrial F1 complex,alpha subunit 1,cardiac muscle; ATP synthase,H+ transporting,mitochondrial F1 complex,alpha subunit,isoform 1,cardiac muscle; ATP synthase,H+ transporting,mitochondrial F1 complex,alpha subunit,isoform 2,non-cardiac muscle-like 2; ATP sythase (F1-ATPase) alpha subunit; ATP5A; ATP5A1; ATP5AL2; ATP5F1A; ATPA; ATPM; COXPD22; epididymis secretory sperm binding protein Li 123m; hATP1; HEL-S-123m; MC5DN4; mitochondrial ATP synthetase,oligomycin-resistant; MOM2; OMR; ORM","P25705,P06576,P36542","6894,15702,11729","Mitochondrial membrane ATP synthase (F(1)F(0) ATP synthase or Complex V) produces ATP from ADP in the presence of a proton gradient across the membrane which is generated by electron transport complexes of the respiratory chain. F-type ATPases consist of two structural domains,F(1) - containing the extramembraneous catalytic core,and F(0) - containing the membrane proton channel,linked together by a central stalk and a peripheral stalk. During catalysis,ATP synthesis in the catalytic domain of F(1) is coupled via a rotary mechanism of the central stalk subunits to proton translocation. Subunits alpha and beta form the catalytic core in F(1).",F,F,T,F,T,F,F,T,F,
56-65-17,T,ATP,Adenosine triphosphate,Adenosine triphosphate,Small molecule,,,,519.18,5957,5742,ChEMBL14261,https://commonchemistry.cas.org/detail?cas_rn=56-65-17&search=56-65-17,http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=5957,http://www.chemspider.com/Chemical-Structure.5742.html,https://www.ebi.ac.uk/chembldb/index.php/compound/inspect/ChEMBL14261,,"ATPA,ATPB,ATPG","ATP synthase subunit alpha,mitochondrial,ATP synthase subunit beta,mitochondrial,ATP synthase subunit gamma,mitochondrial","ATP synthase alpha chain,mitochondrial; ATP synthase F1 subunit alpha; ATP synthase subunit alpha,mitochondrial; ATP synthase,H+ transporting,mitochondrial F1 complex,alpha subunit 1,cardiac muscle; ATP synthase,H+ transporting,mitochondrial F1 complex,alpha subunit,isoform 1,cardiac muscle; ATP synthase,H+ transporting,mitochondrial F1 complex,alpha subunit,isoform 2,non-cardiac muscle-like 2; ATP sythase (F1-ATPase) alpha subunit; ATP5A; ATP5A1; ATP5AL2; ATP5F1A; ATPA; ATPM; COXPD22; epididymis secretory sperm binding protein Li 123m; hATP1; HEL-S-123m; MC5DN4; mitochondrial ATP synthetase,oligomycin-resistant; MOM2; OMR; ORM","P25705,P06576,P36542","6894,15702,11729","Mitochondrial membrane ATP synthase (F(1)F(0) ATP synthase or Complex V) produces ATP from ADP in the presence of a proton gradient across the membrane which is generated by electron transport complexes of the respiratory chain. F-type ATPases consist of two structural domains,F(1) - containing the extramembraneous catalytic core,and F(0) - containing the membrane proton channel,linked together by a central stalk and a peripheral stalk. During catalysis,ATP synthesis in the catalytic domain of F(1) is coupled via a rotary mechanism of the central stalk subunits to proton translocation. Subunits alpha and beta form the catalytic core in F(1).",F,F,T,F,T,F,F,T,F,
56-65-18,T,ATP,Adenosine triphosphate,Adenosine triphosphate,Small molecule,,,,520.18,5957,5742,ChEMBL14262,https://commonchemistry.cas.org/detail?cas_rn=56-65-18&search=56-65-18,http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=5957,http://www.chemspider.com/Chemical-Structure.5742.html,https://www.ebi.ac.uk/chembldb/index.php/compound/inspect/ChEMBL14262,,"ATPA,ATPB,ATPG","ATP synthase subunit alpha,mitochondrial,ATP synthase subunit beta,mitochondrial,ATP synthase subunit gamma,mitochondrial","ATP synthase alpha chain,mitochondrial; ATP synthase F1 subunit alpha; ATP synthase subunit alpha,mitochondrial; ATP synthase,H+ transporting,mitochondrial F1 complex,alpha subunit 1,cardiac muscle; ATP synthase,H+ transporting,mitochondrial F1 complex,alpha subunit,isoform 1,cardiac muscle; ATP synthase,H+ transporting,mitochondrial F1 complex,alpha subunit,isoform 2,non-cardiac muscle-like 2; ATP sythase (F1-ATPase) alpha subunit; ATP5A; ATP5A1; ATP5AL2; ATP5F1A; ATPA; ATPM; COXPD22; epididymis secretory sperm binding protein Li 123m; hATP1; HEL-S-123m; MC5DN4; mitochondrial ATP synthetase,oligomycin-resistant; MOM2; OMR; ORM","P25705,P06576,P36542","6894,15702,11729","Mitochondrial membrane ATP synthase (F(1)F(0) ATP synthase or Complex V) produces ATP from ADP in the presence of a proton gradient across the membrane which is generated by electron transport complexes of the respiratory chain. F-type ATPases consist of two structural domains,F(1) - containing the extramembraneous catalytic core,and F(0) - containing the membrane proton channel,linked together by a central stalk and a peripheral stalk. During catalysis,ATP synthesis in the catalytic domain of F(1) is coupled via a rotary mechanism of the central stalk subunits to proton translocation. Subunits alpha and beta form the catalytic core in F(1).",F,F,T,F,T,F,F,T,F,
56-65-19,T,ATP,Adenosine triphosphate,Adenosine triphosphate,Small molecule,,,,521.18,5957,5742,ChEMBL14263,https://commonchemistry.cas.org/detail?cas_rn=56-65-19&search=56-65-19,http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=5957,http://www.chemspider.com/Chemical-Structure.5742.html,https://www.ebi.ac.uk/chembldb/index.php/compound/inspect/ChEMBL14263,,"ATPA,ATPB,ATPG","ATP synthase subunit alpha,mitochondrial,ATP synthase subunit beta,mitochondrial,ATP synthase subunit gamma,mitochondrial","ATP synthase alpha chain,mitochondrial; ATP synthase F1 subunit alpha; ATP synthase subunit alpha,mitochondrial; ATP synthase,H+ transporting,mitochondrial F1 complex,alpha subunit 1,cardiac muscle; ATP synthase,H+ transporting,mitochondrial F1 complex,alpha subunit,isoform 1,cardiac muscle; ATP synthase,H+ transporting,mitochondrial F1 complex,alpha subunit,isoform 2,non-cardiac muscle-like 2; ATP sythase (F1-ATPase) alpha subunit; ATP5A; ATP5A1; ATP5AL2; ATP5F1A; ATPA; ATPM; COXPD22; epididymis secretory sperm binding protein Li 123m; hATP1; HEL-S-123m; MC5DN4; mitochondrial ATP synthetase,oligomycin-resistant; MOM2; OMR; ORM","P25705,P06576,P36542","6894,15702,11729","Mitochondrial membrane ATP synthase (F(1)F(0) ATP synthase or Complex V) produces ATP from ADP in the presence of a proton gradient across the membrane which is generated by electron transport complexes of the respiratory chain. F-type ATPases consist of two structural domains,F(1) - containing the extramembraneous catalytic core,and F(0) - containing the membrane proton channel,linked together by a central stalk and a peripheral stalk. During catalysis,ATP synthesis in the catalytic domain of F(1) is coupled via a rotary mechanism of the central stalk subunits to proton translocation. Subunits alpha and beta form the catalytic core in F(1).",F,F,T,F,T,F,F,T,F,
,F,Acrp30,Adiponectin,"30 kDa adipocyte complement-related protein; ACDC; ACRP30; ADIPO; Adipocyte complement-related 30 kDa protein; Adipocyte,C1q and collagen domain-containing protein; Adiponectin; adiponectin,C1Q and collagen domain containing; ADIPOQ; Adipose most abundant gene transcript 1 protein; adipose specific collagen-like factor; ADIPQTL1; ADPN; apM-1; APM1; GBP28; Gelatin-binding protein; gelatin-binding protein 28",Protein,"26,414",19-244,,,,,,,,,,,,,,,,,T,F,F,F,T,F,F,T,F,
51-43-4,T,EPI,Adrenaline (epinephrine),"4-[ (1R)-1-Hydroxy-2- (methylamino)ethyl]-1,2-benzenediol; epinephrine",Small molecule,,,,183.204,5816,5611,CHEMBL679,https://commonchemistry.cas.org/detail?cas_rn=51-43-4&search=51-43-4,http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=5816,http://www.chemspider.com/Chemical-Structure.5611.html,https://www.ebi.ac.uk/chembldb/index.php/compound/inspect/CHEMBL679,,PNMT; PENT,Phenylethanolamine N-methyltransferase,MGC34570; Noradrenaline N-methyltransferase; PENT; phenylethanolamine N-methylase; Phenylethanolamine N-methyltransferase; PNMT; PNMTase,P11086,3710753,Converts noradrenaline to adrenaline. Belongs to the class I-like SAM-binding methyltransferase superfamily. NNMT/PNMT/TEMT family.,T,T,T,F,T,F,F,T,F,
,F,ACTH (POMC; LPH),Adrenocorticotropic hormone (Melanocyte stimulating hormone; Lipotropin),ACTH; Adrenocorticotropic hormone; adrenocorticotropin; alpha-melanocyte-stimulating hormone; Alpha-MSH; Beta-endorphin; Beta-LPH; beta-melanocyte-stimulating hormone; Beta-MSH; CLIP; COLI; Corticotropin; Corticotropin-like intermediary peptide; Corticotropin-lipotropin; Gamma-LPH; Gamma-MSH; Lipotropin beta; Lipotropin gamma; LPH; Melanocyte-stimulating hormone alpha; Melanocyte-stimulating hormone beta; Melanotropin alpha; Melanotropin beta; Melanotropin gamma; Met-enkephalin; MSH; NPP; OBAIRH; opiomelanocortin prepropeptide; POC; POMC; Potential peptide; pro-ACTH-endorphin; Pro-opiomelanocortin; proopiomelanocortin; proopiomelanocortin preproprotein,Protein,"29,424",138-176,"prohormone convertase 1 (PC1),prohormone convertase 2 (PC2),carboxypeptidase E (CPE),and prolylcarboxypeptidase (PRCP)",,,,,,,,,,,,,,,,T,F,F,F,T,F,F,T,F,
306-60-5,T,Agmatine,Agmatine,(4-aminobutyl)guanidine,Small molecule,,,,130.191,199,194,ChEMBL58343,https://commonchemistry.cas.org/detail?cas_rn=306-60-5&search=306-60-5,http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=199,http://www.chemspider.com/Chemical-Structure.194.html,https://www.ebi.ac.uk/chembldb/index.php/compound/inspect/ChEMBL58343,,ADC,Arginine decarboxylase,ADC; Antizyme inhibitor 2; ARGDC; Arginine decarboxylase; AZI2; AZIB1; AZIN2; KIAA1945; ODC antizyme inhibitor-2; ODC-like protein; ODC-p; ODC-paralogue; ODC1L; ODCP; ornithine decarboxylase like; ornithine decarboxylase paralog; Ornithine decarboxylase-like protein; ornithine decarboxylase-paralog,Q96A70,7579708,"Antizyme inhibitor (AZI) protein that positively regulates ornithine decarboxylase (ODC) activity and polyamine uptake. AZI is an enzymatically inactive ODC homolog that counteracts the negative effect of ODC antizymes (AZs) OAZ1,OAZ2 and OAZ3 on ODC activity by competing with ODC for antizyme-binding. Inhibits antizyme-dependent ODC degradation and releases ODC monomers from their inactive complex with antizymes,leading to formation of the catalytically active ODC homodimer and restoring polyamine production.",F,F,T,F,T,F,F,T,F,
306-60-6,T,Agmatine-1,Agmatine,(4-aminobutyl)guanidine,Small molecule,,,,131.191,199,194,ChEMBL58344,https://commonchemistry.cas.org/detail?cas_rn=306-60-6&search=306-60-6,http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=199,http://www.chemspider.com/Chemical-Structure.194.html,https://www.ebi.ac.uk/chembldb/index.php/compound/inspect/ChEMBL58344,,ADC,Arginine decarboxylase,ADC; Antizyme inhibitor 2; ARGDC; Arginine decarboxylase; AZI2; AZIB1; AZIN2; KIAA1945; ODC antizyme inhibitor-2; ODC-like protein; ODC-p; ODC-paralogue; ODC1L; ODCP; ornithine decarboxylase like; ornithine decarboxylase paralog; Ornithine decarboxylase-like protein; ornithine decarboxylase-paralog,Q96A70,7579708,"Antizyme inhibitor (AZI) protein that positively regulates ornithine decarboxylase (ODC) activity and polyamine uptake. AZI is an enzymatically inactive ODC homolog that counteracts the negative effect of ODC antizymes (AZs) OAZ1,OAZ2 and OAZ3 on ODC activity by competing with ODC for antizyme-binding. Inhibits antizyme-dependent ODC degradation and releases ODC monomers from their inactive complex with antizymes,leading to formation of the catalytically active ODC homodimer and restoring polyamine production.",F,F,T,F,T,F,F,T,F,
306-60-7,T,Agmatine-2,Agmatine,(4-aminobutyl)guanidine,Small molecule,,,,132.191,199,194,ChEMBL58345,https://commonchemistry.cas.org/detail?cas_rn=306-60-7&search=306-60-7,http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=199,http://www.chemspider.com/Chemical-Structure.194.html,https://www.ebi.ac.uk/chembldb/index.php/compound/inspect/ChEMBL58345,,ADC,Arginine decarboxylase,ADC; Antizyme inhibitor 2; ARGDC; Arginine decarboxylase; AZI2; AZIB1; AZIN2; KIAA1945; ODC antizyme inhibitor-2; ODC-like protein; ODC-p; ODC-paralogue; ODC1L; ODCP; ornithine decarboxylase like; ornithine decarboxylase paralog; Ornithine decarboxylase-like protein; ornithine decarboxylase-paralog,Q96A70,7579708,"Antizyme inhibitor (AZI) protein that positively regulates ornithine decarboxylase (ODC) activity and polyamine uptake. AZI is an enzymatically inactive ODC homolog that counteracts the negative effect of ODC antizymes (AZs) OAZ1,OAZ2 and OAZ3 on ODC activity by competing with ODC for antizyme-binding. Inhibits antizyme-dependent ODC degradation and releases ODC monomers from their inactive complex with antizymes,leading to formation of the catalytically active ODC homodimer and restoring polyamine production.",F,F,T,F,T,F,F,T,F,
306-60-8,T,Agmatine-3,Agmatine,(4-aminobutyl)guanidine,Small molecule,,,,133.191,199,194,ChEMBL58346,https://commonchemistry.cas.org/detail?cas_rn=306-60-8&search=306-60-8,http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=199,http://www.chemspider.com/Chemical-Structure.194.html,https://www.ebi.ac.uk/chembldb/index.php/compound/inspect/ChEMBL58346,,ADC,Arginine decarboxylase,ADC; Antizyme inhibitor 2; ARGDC; Arginine decarboxylase; AZI2; AZIB1; AZIN2; KIAA1945; ODC antizyme inhibitor-2; ODC-like protein; ODC-p; ODC-paralogue; ODC1L; ODCP; ornithine decarboxylase like; ornithine decarboxylase paralog; Ornithine decarboxylase-like protein; ornithine decarboxylase-paralog,Q96A70,7579708,"Antizyme inhibitor (AZI) protein that positively regulates ornithine decarboxylase (ODC) activity and polyamine uptake. AZI is an enzymatically inactive ODC homolog that counteracts the negative effect of ODC antizymes (AZs) OAZ1,OAZ2 and OAZ3 on ODC activity by competing with ODC for antizyme-binding. Inhibits antizyme-dependent ODC degradation and releases ODC monomers from their inactive complex with antizymes,leading to formation of the catalytically active ODC homodimer and restoring polyamine production.",F,F,T,F,T,F,F,T,F,
306-60-9,T,Agmatine-4,Agmatine,(4-aminobutyl)guanidine,Small molecule,,,,134.191,199,194,ChEMBL58347,https://commonchemistry.cas.org/detail?cas_rn=306-60-9&search=306-60-9,http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=199,http://www.chemspider.com/Chemical-Structure.194.html,https://www.ebi.ac.uk/chembldb/index.php/compound/inspect/ChEMBL58347,,ADC,Arginine decarboxylase,ADC; Antizyme inhibitor 2; ARGDC; Arginine decarboxylase; AZI2; AZIB1; AZIN2; KIAA1945; ODC antizyme inhibitor-2; ODC-like protein; ODC-p; ODC-paralogue; ODC1L; ODCP; ornithine decarboxylase like; ornithine decarboxylase paralog; Ornithine decarboxylase-like protein; ornithine decarboxylase-paralog,Q96A70,7579708,"Antizyme inhibitor (AZI) protein that positively regulates ornithine decarboxylase (ODC) activity and polyamine uptake. AZI is an enzymatically inactive ODC homolog that counteracts the negative effect of ODC antizymes (AZs) OAZ1,OAZ2 and OAZ3 on ODC activity by competing with ODC for antizyme-binding. Inhibits antizyme-dependent ODC degradation and releases ODC monomers from their inactive complex with antizymes,leading to formation of the catalytically active ODC homodimer and restoring polyamine production.",F,F,T,F,T,F,F,T,F,
306-60-10,T,Agmatine-5,Agmatine,(4-aminobutyl)guanidine,Small molecule,-,,,135.191,199,194,ChEMBL58348,https://commonchemistry.cas.org/detail?cas_rn=306-60-10&search=306-60-10,http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=199,http://www.chemspider.com/Chemical-Structure.194.html,https://www.ebi.ac.uk/chembldb/index.php/compound/inspect/ChEMBL58348,,ADC,Arginine decarboxylase,ADC; Antizyme inhibitor 2; ARGDC; Arginine decarboxylase; AZI2; AZIB1; AZIN2; KIAA1945; ODC antizyme inhibitor-2; ODC-like protein; ODC-p; ODC-paralogue; ODC1L; ODCP; ornithine decarboxylase like; ornithine decarboxylase paralog; Ornithine decarboxylase-like protein; ornithine decarboxylase-paralog,Q96A70,7579708,"Antizyme inhibitor (AZI) protein that positively regulates ornithine decarboxylase (ODC) activity and polyamine uptake. AZI is an enzymatically inactive ODC homolog that counteracts the negative effect of ODC antizymes (AZs) OAZ1,OAZ2 and OAZ3 on ODC activity by competing with ODC for antizyme-binding. Inhibits antizyme-dependent ODC degradation and releases ODC monomers from their inactive complex with antizymes,leading to formation of the catalytically active ODC homodimer and restoring polyamine production.",F,F,T,F,T,F,F,T,F,
52-39-1,T,ALD,Aldosterone,"11β,21-Dihydroxy-3,20-dioxopregn-4-en-18-al; Aldocortene; Electrocortin; Reichstein X",Small molecule,,,,360.45,5839,5633,CHEMBL273453,https://commonchemistry.cas.org/detail?cas_rn=52-39-1&search=52-39-1,http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=5839,http://www.chemspider.com/Chemical-Structure.5633.html,https://www.ebi.ac.uk/chembldb/index.php/compound/inspect/CHEMBL273453,,CYP11B2,"Cytochrome P450 11B2,mitochondrial","ALDOS; Aldosterone synthase; Aldosterone-synthesizing enzyme; C11B2; Corticosterone 18-monooxygenase,CYP11B2; CPN2; CYP11B; CYP11B2; CYP11BL; CYPXIB2; Cytochrome P-450Aldo; Cytochrome P-450C18; Cytochrome P450 11B2,mitochondrial; cytochrome P450 family 11 subfamily B member 2; cytochrome P450,family 11,subfamily B,polypeptide 2; cytochrome P450,subfamily XIB (steroid 11-beta-hydroxylase),polypeptide 2; mitochondrial cytochrome P450,family 11,subfamily B,polypeptide 2; P-450C18; P450aldo; P450C18; Steroid 11-beta-hydroxylase,CYP11B2; steroid 11-beta-monooxygenase; steroid 11-beta/18-hydroxylase; Steroid 18-hydroxylase; steroid 18-hydroxylase,aldosterone synthase,P450C18,P450aldo",P19099,7918531,Preferentially catalyzes the conversion of 11-deoxycorticosterone to aldosterone via corticosterone and 18-hydroxycorticosterone. Belongs to the cytochrome P450 family.,T,F,F,F,T,F,F,T,F,
,F,IAPP,Amylin (Islet amyloid polypeptide),Amylin; amylin); DAP; Diabetes-associated peptide; IAP; IAPP; Insulinoma amyloid peptide; Islet amyloid polypeptide; Islet amyloid polypeptide (diabetes-associated peptide,Protein,"9,806",34-70,"Proprotein convertase 2 (PC2),proprotein convertase 1/3 (PC1/3)",,,,,,,,,,,,,,,,T,F,F,F,T,F,F,T,F,
